Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,RTG,RTG_exp,RTG_diff,PTS_exp,TRB_exp,AST_exp
3,UTA,Enes Kanter,0.507,0.333,0.736,19.2,8.5,5.5,0.5,6.5,0.072,14.5,22.071,-7.571,14.062,4.875,3.133
15,ATL,Doug Edwards,0.378,0,0.709,9.9,2.4,1.8,0.7,0.2,0.013,4.9,12.496,-7.596,7.474,3.539,1.483
24,SAS,Dwayne Schintzius,0.404,0.125,0.638,9,2.7,2.5,0.4,1,0.024,5.6,13.229,-7.629,8.112,3.096,2.021
7,SAC,Bismack Biyombo,0.486,,0.505,21.3,4.2,6,0.3,5.1,0.052,10.5,18.192,-7.692,11.237,4.417,2.538
19,DET,Randolph Childress,0.328,0.273,0.8,7.9,2.4,0.5,1,-0.2,-0.026,3.9,11.6,-7.7,7.196,3.158,1.246
18,HOU,Mirsad Turkcan,0.368,0,0.625,5.3,1.9,1.9,0.3,0,-0.019,4.1,11.804,-7.704,7.175,3.387,1.242
24,CHI,Dalibor Bagaric,0.361,0,0.559,10.2,2.6,2.5,0.4,-0.9,-0.043,5.5,13.229,-7.729,8.112,3.096,2.021
14,MIN,William Avery,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034,4.8,12.538,-7.738,7.938,3.233,1.367
11,BOS,Jerome Moiso,0.489,0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,5.7,13.465,-7.765,8.122,3.613,1.73
20,DEN,Julius Hodge,0.44,,0.5,4.3,1.2,0.7,0.8,0,0.003,2.7,10.483,-7.783,6.317,2.729,1.438
8,POR,Shawn Respert,0.414,0.34,0.816,13.7,4.9,1.3,1,2.1,0.043,7.2,14.983,-7.783,9.317,3.829,1.838
48,ATL,Keith Benson,0,,,3,0,1,0,0,-0.005,1,8.8,-7.8,4.912,2.988,0.9
14,NJN,Yinka Dare,0.396,,0.57,9.1,2.1,2.6,0,-0.7,-0.033,4.7,12.538,-7.838,7.938,3.233,1.367
40,LAL,Sun Yue,0.273,0,,2.8,0.6,0,0.2,-0.1,-0.226,0.8,8.742,-7.942,5.289,2.1,1.353
6,GSW,Ekpe Udoh,0.428,0,0.718,18.7,4.4,3.5,0.7,5.4,0.059,8.6,16.625,-8.025,10.279,4.417,1.929
16,BOS,Troy Bell,0.222,0,1,5.7,1.8,0.7,0.7,-0.2,-0.326,3.2,11.248,-8.048,6.778,3.061,1.409
4,POR,Tyrus Thomas,0.438,0.235,0.732,19.8,7.7,4.8,0.9,12.9,0.078,13.4,21.496,-8.096,13.212,5.262,3.021
42,ORL,Miles Simon,0.2,0,,3.8,0.4,0.4,0,-0.1,-0.289,0.8,8.98,-8.18,5.233,2.573,1.173
15,NOK,Cedric Simmons,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,4.3,12.496,-8.196,7.474,3.539,1.483
43,SAC,Patrick Ewing,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,1,9.238,-8.238,5.857,2.381,1
23,HOU,Brandon Armstrong,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039,3,11.258,-8.258,6.7,3.213,1.346
47,UTA,Kevin Murphy,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,1.2,9.472,-8.272,5.578,2.417,1.478
30,PHO,Nemanja Nedovic,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132,2.2,10.477,-8.277,6.064,3.164,1.25
8,MIL,Joe Alexander,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,6.7,14.983,-8.283,9.317,3.829,1.838
39,NYK,Slavko Vranes,0,,,3,0,0,0,0,-0.371,0,8.325,-8.325,4.965,2.1,1.26
14,IND,Scott Haskin,0.467,,0.684,6.9,2,2,0.2,0.3,0.087,4.2,12.538,-8.338,7.938,3.233,1.367
17,ATL,Cal Bowdler,0.404,0.182,0.768,9.7,3,1.9,0.2,1.8,0.061,5.1,13.446,-8.346,8.033,3.779,1.633
13,NOK,Julian Wright,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,7,15.362,-8.362,9.5,3.925,1.938
37,PHI,Casey Shaw,0.125,,,1.6,0.2,0.3,0,-0.1,-0.498,0.5,8.883,-8.383,5.146,2.421,1.317
9,BOS,Eric Montross,0.49,0,0.478,18.2,4.5,4.6,0.4,8.5,0.048,9.5,17.971,-8.471,10.925,4.988,2.058
9,GSW,Ike Diogu,0.509,0.5,0.786,12.4,6,3.1,0.3,6.5,0.112,9.4,17.971,-8.571,10.925,4.988,2.058
22,BOS,Fab Melo,0.5,,0.25,6,1.2,0.5,0,0,0.021,1.7,10.271,-8.571,5.933,3.154,1.183
4,LAC,Shaun Livingston,0.466,0.204,0.802,22.9,6.9,2.6,3.4,15.7,0.069,12.9,21.496,-8.596,13.212,5.262,3.021
5,DEN,Tony Battie,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099,11.8,20.492,-8.692,12.658,5.133,2.7
4,VAN,Antonio Daniels,0.444,0.311,0.793,22.6,7.6,1.8,3.4,47,0.115,12.8,21.496,-8.696,13.212,5.262,3.021
1,GSW,Joe Smith,0.455,0.238,0.79,26.2,10.9,6.4,1,60.3,0.107,18.3,27.029,-8.729,16.708,7.358,2.962
16,CHH,Kirk Haston,0.232,0,0.5,5,1.2,1,0.3,-0.5,-0.197,2.5,11.248,-8.748,6.778,3.061,1.409
11,NOH,Cole Aldrich,0.535,,0.786,7.8,2,2.5,0.2,2.8,0.122,4.7,13.465,-8.765,8.122,3.613,1.73
23,DEN,Efthimi Rentzias,0.339,0.5,0.889,4.1,1.5,0.7,0.2,0.2,0.058,2.4,11.258,-8.858,6.7,3.213,1.346
8,CLE,DeSagana Diop,0.427,0.167,0.467,14,2,3.7,0.4,12.8,0.073,6.1,14.983,-8.883,9.317,3.829,1.838
4,MIN,Wesley Johnson,0.409,0.347,0.749,24.9,8.1,3.2,1.3,3.9,0.027,12.6,21.496,-8.896,13.212,5.262,3.021
6,WAS,Jan Vesely,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,7.7,16.625,-8.925,10.279,4.417,1.929
19,CLE,Sergey Karasev,0.333,0.2,0.917,6.5,1.5,0.8,0.3,-0.1,-0.038,2.6,11.6,-9,7.196,3.158,1.246
43,NJN,Mile Ilic,0,,,1.2,0,0.2,0,-0.2,-1.264,0.2,9.238,-9.038,5.857,2.381,1
8,TOR,Rafael Araujo,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,5.9,14.983,-9.083,9.317,3.829,1.838
21,NYK,Dontae' Jones,0.333,0.261,,6.1,2.9,0.6,0.3,-0.3,-0.175,3.8,12.896,-9.096,7.538,3.346,2.013
